epoch,iteration,lr,train_loss_loc,train_loss_conf,train_loss_total,val_loss_loc,val_loss_conf,val_loss_total,val_mAP_0.5,val_mAP_0.5_0.95,val_P,val_R,val_F1
1,100,0.001,3.327019624710083,2.6464822602272036,5.973501884937287,2.9117599684616615,2.2315850216766884,5.14334499013835,0.01281087294988382,0.004220906994926601,0.31818357424615484,0.03472100649229797,0.024367330171236313
2,200,0.001,2.982061495780945,2.2141830575466157,5.196244553327561,2.878712070399317,2.137568551918556,5.016280622317874,0.006869353601413028,0.0018437571161657928,0.8131098468937357,0.02672672672672673,0.01759103575002847
3,300,0.001,2.8143412566184995,2.095167409181595,4.909508665800095,2.699444499509088,1.9560823810511623,4.6555268805602505,0.024836809488598698,0.007061967908064487,0.3257782229081553,0.05981703414730204,0.043123864771465806
4,400,0.001,2.6098267698287962,1.940387144088745,4.550213913917541,2.5777414091702164,1.8697355245721752,4.447476933742392,0.06682308677152483,0.022890441695321367,0.3455563934480851,0.10618351128985584,0.10661750064516204
5,500,0.001,2.455993894338608,1.8919402551651001,4.347934149503708,2.342659567964488,1.784037055640385,4.126696623604873,0.09061531204440901,0.032063101654801356,0.38868561112698935,0.14664760173621144,0.09116338899253311
6,600,0.001,2.293643227815628,1.8098565137386322,4.10349974155426,2.2076713175609193,1.795194099689352,4.002865417250272,0.09143839503060881,0.02989051091496325,0.39306219399750897,0.1232410850655209,0.10541870681384054
7,700,0.001,2.1714391779899596,1.8105096423625946,3.981948820352554,1.988330968495073,1.726231102285714,3.714562070780787,0.120435735212684,0.03968242966720374,0.2631848952902215,0.1289386638060072,0.16331260047839777
8,800,0.001,2.05738894701004,1.727830286026001,3.7852192330360412,1.9533448794792438,1.702706447963057,3.6560513274423005,0.0965491094987224,0.03606765203814593,0.43993784990310986,0.1276549285352216,0.1308545943176649
9,900,0.001,1.9623799645900726,1.687880883216858,3.6502608478069307,1.8699002224823524,1.623071366343005,3.492971588825357,0.14266515729057888,0.05966745227537379,0.3300758170880851,0.18649460690762903,0.1863876243845476
10,1000,0.001,1.8939516496658326,1.6775263679027557,3.5714780175685883,1.7664971433836838,1.6199275296309898,3.3864246730146736,0.10665973992365392,0.040101335547968645,0.31475239840206065,0.15283860549326891,0.14102127558336125
11,1100,0.001,1.8328657972812652,1.6133578658103942,3.4462236630916596,1.6890961178417863,1.5987383044999222,3.2878344223417084,0.14056341203086364,0.05734782990916816,0.3172738337251689,0.1750044360691279,0.18718675057957712
12,1200,0.001,1.7145760560035705,1.6030179643630982,3.317594020366669,1.5391269305656696,1.5369430163810993,3.076069946946769,0.1776198361245484,0.07050600082843704,0.34982829099873314,0.19926329315135222,0.2220228734956955
13,1300,0.001,1.7117552936077118,1.5514487266540526,3.2632040202617647,1.494247288539492,1.5481798443300971,3.042427132869589,0.2256037810568276,0.08199445199257013,0.36726251524034736,0.2985766541604777,0.28229143540089263
14,1400,0.001,1.6552528941631317,1.5205869376659393,3.1758398318290713,1.527931677884069,1.5495056982698112,3.0774373761538802,0.14219871582371774,0.05477888277497355,0.2505035227255104,0.13991745027084743,0.13659509985667295
15,1500,0.001,1.566279628276825,1.4910389816761016,3.057318609952927,1.4357792036286716,1.4630524372232372,2.898831640851909,0.22879889657860372,0.08331492633389731,0.3281256500177057,0.2449429505560245,0.2649055655905392
16,1600,0.001,1.509450322985649,1.473992453813553,2.983442776799202,1.3945038647487247,1.4260439667208442,2.820547831469569,0.2102941146169559,0.08208398090681632,0.28300965110964305,0.26888602558660846,0.2637947597877275
17,1700,0.001,1.4839817887544633,1.4247743463516236,2.9087561351060867,1.3543593143594677,1.4155339660315678,2.7698932803910354,0.2968693868717618,0.12197278486816623,0.5777938369400781,0.27695737736082576,0.3179969142511327
18,1800,0.001,1.3987152755260468,1.4178244602680206,2.816539735794067,1.3163229000979457,1.3957919375649814,2.712114837662927,0.27187307734049154,0.11188659113310678,0.40288278616451045,0.3169170051304843,0.3220189467098886
19,1900,0.001,1.3386902236938476,1.4016077995300293,2.740298023223877,1.270216504047657,1.3507373374083946,2.6209538414560516,0.311213728413568,0.12008074865433867,0.4048409301413794,0.34341884331739075,0.3484843940163281
20,2000,0.001,1.3317340499162673,1.3684853291511536,2.7002193790674207,1.2532077267252166,1.350636967297258,2.6038446940224746,0.309442370830204,0.13111010549429172,0.4335366088877829,0.3364615255630915,0.34668433365853335
21,2100,0.001,1.3060066461563111,1.3783424818515777,2.684349128007889,1.191208960681126,1.2921386751635322,2.483347635844658,0.35786821114472284,0.15556683747841418,0.45609574039890755,0.3792510244552442,0.4082294682855382
22,2200,0.001,1.3113782405853271,1.3353581547737121,2.6467363953590395,1.1462142673032036,1.304078640608952,2.4502929079121554,0.37406931289964884,0.15797901279438029,0.4831679635323363,0.38759488347751503,0.4083500808719707
23,2300,0.001,1.2503582191467286,1.3388836872577667,2.5892419064044954,1.149096365632682,1.2856478444461166,2.4347442100787986,0.40594525540910587,0.1846436981620398,0.48102856289315576,0.38228119590593135,0.3920581091487587
24,2400,0.001,1.2647945028543472,1.3229711163043976,2.587765619158745,1.1892706607950145,1.2622041661163856,2.4514748269114,0.38380751934035884,0.16059504985636724,0.5121915383702584,0.3605278858740076,0.41879570265887267
25,2500,0.001,1.188268501162529,1.3101387405395508,2.49840724170208,1.103598177433014,1.2738573633391281,2.377455540772142,0.3695592469751195,0.1456015604294318,0.42142031878708697,0.41480482279622094,0.38416189253296434
26,2600,0.001,1.1769028717279435,1.2934912216663361,2.4703940933942796,1.1119623739143898,1.2766879509235252,2.388650324837915,0.42759942736332396,0.1915243496926874,0.5020821388287622,0.4319680655689149,0.45501112880408634
27,2700,0.001,1.1421916383504866,1.285495662689209,2.4276873010396955,1.138374007981399,1.2583052289896999,2.396679236971099,0.3981765115443264,0.18111127935999835,0.5070351442153697,0.3799735058252242,0.40790882336772893
28,2800,0.001,1.1181859856843948,1.27660630941391,2.3947922950983047,1.0780396194293582,1.2422163075414197,2.320255926970778,0.4572250821668618,0.21432490450723163,0.5566026525003049,0.4253069875089482,0.4791525018304018
29,2900,0.001,1.1305667555332184,1.2818977320194245,2.4124644875526426,1.0732512350740104,1.2806273986553323,2.3538786337293427,0.4552787730323515,0.21235398384705445,0.5149877692910438,0.4469041492349272,0.4537612944471109
30,3000,0.001,1.087626661658287,1.2811526203155517,2.368779281973839,1.0480612351976593,1.2171245484516537,2.2651857836493132,0.3752958418858795,0.16214627987395264,0.47817212023540207,0.3753311028092262,0.40903599544953495
31,3100,0.001,1.0925837993621825,1.2558256220817565,2.348409421443939,1.1173940814774612,1.2061079740524292,2.3235020555298904,0.4492163811588251,0.20546788360585397,0.5862084449538478,0.4306208925873114,0.4718135446087057
32,3200,0.001,1.0902148514986039,1.2374304032325745,2.3276452547311783,1.0132835404626255,1.220641432137325,2.2339249725999504,0.4666777855387087,0.19214810035312996,0.5471123364963605,0.4229703290177591,0.43694217633251664
33,3300,0.001,1.0339120417833327,1.2139309918880463,2.247843033671379,1.0174203658926075,1.1933942622151867,2.2108146281077943,0.48600795834846233,0.19894089762547537,0.6099634683059053,0.46577345890262434,0.4947705302251261
34,3400,0.001,1.0040955251455308,1.2305508244037628,2.2346463495492936,1.0398252092558762,1.215467329682975,2.255292538938851,0.45183434574695946,0.19477811624921318,0.6143322773847334,0.42414193368974085,0.4840196130504465
35,3500,0.001,1.0366995877027512,1.2176032984256744,2.2543028861284258,1.017176038232343,1.2050789676863571,2.2222550059187,0.5090193518325259,0.2221532068684201,0.6134695078338451,0.5111092089533991,0.5385648349172396
36,3600,0.001,0.9768439006805419,1.2041750288009643,2.1810189294815063,0.9927697859961411,1.2057247202971886,2.1984945062933297,0.4974780318545493,0.22582584704915154,0.6521677860376374,0.4709990997469009,0.5075118353488879
37,3700,0.001,0.9745302951335907,1.2174682450294494,2.19199854016304,0.9819751217447478,1.172001834573417,2.1539769563181648,0.4970543706795489,0.2383171382442379,0.5943138595774836,0.4520320035078834,0.503286489581888
38,3800,0.001,0.9727325749397278,1.1848306143283844,2.157563189268112,0.9637336792617008,1.1863354732250344,2.1500691524867355,0.5134333907540577,0.2392056241866636,0.6212665634590431,0.4969593113400991,0.548010615723056
39,3900,0.001,0.9449784523248672,1.1905605900287628,2.13553904235363,0.936547484891168,1.1782119315246056,2.1147594164157737,0.508390640088745,0.24487921351876718,0.5769944588924197,0.48656296083485584,0.5195807108602593
40,4000,0.001,0.9332583332061768,1.193583872318268,2.1268422055244445,0.9524073477449089,1.1847578862617756,2.1371652340066847,0.5395443763318681,0.2453904485194743,0.6221448337311248,0.5435983647322322,0.5750901182530206
41,4100,0.001,0.9674865108728409,1.1771338951587678,2.1446204060316085,0.9549178378335361,1.1550834302244515,2.110001268057988,0.499207283640109,0.24223631232805978,0.5959094429089873,0.46698684338052726,0.5187533096839185
