               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083829,            0.029573,            0.035429,           0.0074483,             0.28447,            0.015605,           0.0037537,            0.071076,            0.016354,            0.027325,            0.070294,           0.0033007,           0.0033007
                   1,            0.068242,            0.027329,            0.027109,             0.66633,            0.067492,            0.064727,            0.021958,            0.063735,            0.013981,            0.024524,            0.040261,           0.0066011,           0.0066011
                   2,            0.063778,            0.024595,            0.023964,             0.49491,             0.11429,             0.10603,            0.038949,            0.055456,            0.013641,            0.021536,            0.010195,           0.0098686,           0.0098686
                   3,            0.059032,            0.024213,            0.019676,             0.72579,             0.18415,             0.15153,            0.053453,            0.056153,            0.012908,            0.016343,           0.0098515,           0.0098515,           0.0098515
                   4,            0.054217,            0.024786,            0.016978,             0.51852,              0.2732,             0.27053,             0.10529,            0.050023,            0.012358,            0.014712,           0.0098515,           0.0098515,           0.0098515
                   5,            0.051728,            0.023054,            0.014964,             0.54881,             0.28471,             0.32162,             0.11498,            0.047458,            0.012958,             0.01252,            0.009802,            0.009802,            0.009802
                   6,            0.050329,               0.023,            0.013396,             0.38598,             0.36243,             0.34332,             0.14409,            0.047549,            0.012164,            0.012202,           0.0097525,           0.0097525,           0.0097525
                   7,            0.048181,             0.02231,            0.011969,             0.53138,             0.47181,             0.50325,             0.20147,            0.047128,            0.010965,            0.010464,            0.009703,            0.009703,            0.009703
                   8,            0.047479,            0.021865,            0.010654,             0.58221,              0.5764,             0.60484,             0.27333,            0.044106,            0.011147,           0.0078601,           0.0096535,           0.0096535,           0.0096535
                   9,            0.045848,            0.021824,            0.009031,             0.65913,             0.59598,             0.64483,             0.28411,            0.042638,            0.010971,           0.0070033,            0.009604,            0.009604,            0.009604
                  10,            0.044873,            0.021293,           0.0082955,             0.61411,             0.54019,             0.58227,              0.2592,            0.042016,            0.010753,           0.0064677,           0.0095545,           0.0095545,           0.0095545
                  11,             0.04405,            0.020528,           0.0082783,             0.60605,             0.59238,             0.58408,             0.25907,            0.041859,            0.010902,           0.0061104,            0.009505,            0.009505,            0.009505
                  12,            0.044644,            0.020511,           0.0071436,             0.68846,             0.67513,               0.712,             0.33287,            0.039781,            0.010606,           0.0053796,           0.0094555,           0.0094555,           0.0094555
                  13,            0.043275,            0.019915,           0.0067033,             0.73937,             0.65681,             0.70222,             0.33185,            0.039825,            0.010247,           0.0047024,            0.009406,            0.009406,            0.009406
                  14,            0.042098,            0.019715,           0.0058786,             0.67188,             0.69153,             0.65232,             0.29581,            0.040666,            0.010073,           0.0042576,           0.0093565,           0.0093565,           0.0093565
                  15,            0.041997,             0.01971,           0.0058961,             0.72255,               0.753,             0.74526,             0.33431,            0.040967,            0.010304,           0.0040264,            0.009307,            0.009307,            0.009307
                  16,            0.040726,            0.019792,           0.0058975,             0.71136,             0.72064,             0.73167,             0.34665,             0.03906,            0.010032,           0.0039838,           0.0092575,           0.0092575,           0.0092575
                  17,            0.041335,            0.019324,           0.0055503,             0.63485,             0.76721,             0.71612,             0.33208,            0.040837,           0.0099205,           0.0030099,            0.009208,            0.009208,            0.009208
                  18,              0.0406,             0.01881,           0.0056284,             0.71733,             0.77009,             0.76053,             0.35741,             0.04012,           0.0095888,           0.0032544,           0.0091585,           0.0091585,           0.0091585
                  19,            0.039902,             0.01873,           0.0047487,             0.75447,             0.75435,             0.76099,             0.36666,            0.037736,           0.0096878,           0.0031514,            0.009109,            0.009109,            0.009109
                  20,             0.03931,            0.018802,           0.0051119,             0.70284,             0.73314,             0.70999,               0.352,            0.038038,           0.0098039,           0.0033065,           0.0090595,           0.0090595,           0.0090595
                  21,            0.039292,            0.018646,           0.0047918,             0.77764,             0.80433,             0.80141,             0.39743,             0.03682,           0.0096765,           0.0035608,             0.00901,             0.00901,             0.00901
                  22,            0.038393,            0.018696,           0.0047028,             0.80897,             0.79063,              0.8098,             0.38875,            0.037017,           0.0094729,           0.0031868,           0.0089605,           0.0089605,           0.0089605
                  23,            0.038375,            0.018182,           0.0039528,              0.7602,             0.73559,             0.75346,             0.36821,            0.036964,           0.0095344,            0.003345,            0.008911,            0.008911,            0.008911
                  24,            0.037979,            0.018558,           0.0041947,             0.85947,             0.82741,               0.836,             0.42469,            0.035597,           0.0092338,           0.0026835,           0.0088615,           0.0088615,           0.0088615
                  25,            0.037537,            0.017803,           0.0037913,             0.78491,             0.78688,             0.82228,             0.42754,            0.036213,           0.0089673,           0.0031198,            0.008812,            0.008812,            0.008812
                  26,            0.037284,             0.01806,            0.003992,             0.84644,             0.81589,              0.8309,             0.44006,            0.035118,            0.009086,           0.0029994,           0.0087625,           0.0087625,           0.0087625
                  27,             0.03691,            0.018436,           0.0039983,             0.81059,             0.76079,             0.80066,             0.41747,            0.034852,           0.0091805,           0.0029101,            0.008713,            0.008713,            0.008713
                  28,            0.035768,            0.017459,           0.0035294,             0.83165,              0.8225,             0.82924,             0.44529,            0.034898,           0.0089413,           0.0031897,           0.0086635,           0.0086635,           0.0086635
                  29,            0.035621,            0.017415,           0.0038988,             0.81858,             0.82383,             0.84386,             0.42974,            0.034411,           0.0089947,           0.0027344,            0.008614,            0.008614,            0.008614
                  30,            0.035502,            0.017096,           0.0035533,             0.84739,             0.80028,             0.84513,             0.44797,            0.034654,           0.0088034,           0.0027131,           0.0085645,           0.0085645,           0.0085645
                  31,            0.035607,            0.017651,           0.0034037,             0.80687,             0.78421,             0.79794,              0.4008,            0.034444,           0.0087968,           0.0030598,            0.008515,            0.008515,            0.008515
                  32,            0.035386,            0.017234,           0.0036272,             0.85645,             0.79912,             0.83792,             0.43098,            0.034091,           0.0091226,           0.0023603,           0.0084655,           0.0084655,           0.0084655
                  33,            0.035085,            0.017005,           0.0035181,             0.82294,             0.84359,             0.84895,             0.44715,            0.034942,            0.008663,           0.0020929,            0.008416,            0.008416,            0.008416
                  34,            0.033938,             0.01744,           0.0034613,             0.84531,             0.83831,             0.85673,             0.46778,            0.033723,           0.0087997,            0.002294,           0.0083665,           0.0083665,           0.0083665
                  35,            0.034525,            0.017009,           0.0032672,             0.85591,             0.82392,             0.85788,             0.44906,            0.033699,           0.0085732,           0.0027491,            0.008317,            0.008317,            0.008317
                  36,            0.033606,            0.016931,           0.0033758,             0.82995,             0.83131,             0.85214,             0.46804,            0.033412,           0.0086121,           0.0024604,           0.0082675,           0.0082675,           0.0082675
                  37,            0.033372,            0.017014,           0.0033953,             0.84677,             0.85353,             0.85196,             0.45794,            0.032811,           0.0087208,           0.0022888,            0.008218,            0.008218,            0.008218
                  38,            0.033688,            0.016565,           0.0030806,              0.8087,             0.84445,              0.8424,             0.44717,            0.033199,           0.0086076,            0.002141,           0.0081685,           0.0081685,           0.0081685
                  39,            0.033537,            0.016125,           0.0030919,             0.86611,             0.82989,             0.85061,             0.44461,            0.033062,           0.0087182,           0.0023164,            0.008119,            0.008119,            0.008119
                  40,             0.03339,            0.016529,           0.0028611,             0.85785,             0.84796,             0.85131,             0.45709,             0.03317,           0.0085698,           0.0023092,           0.0080695,           0.0080695,           0.0080695
                  41,            0.033031,            0.016102,           0.0028042,             0.80299,             0.82809,             0.81634,             0.44446,            0.033232,           0.0085946,           0.0022569,             0.00802,             0.00802,             0.00802
                  42,            0.032435,            0.016389,           0.0028276,             0.85831,             0.85312,             0.86493,             0.48848,             0.03227,           0.0085487,            0.002675,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032268,            0.015916,            0.002836,             0.85295,              0.8611,             0.86429,             0.48815,            0.032515,           0.0087188,           0.0024883,            0.007921,            0.007921,            0.007921
                  44,            0.032028,            0.016202,           0.0025083,             0.84843,             0.85944,             0.87333,             0.47641,            0.032457,           0.0085695,           0.0022023,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032239,            0.016205,           0.0028805,             0.86745,             0.85211,             0.86908,             0.48278,            0.032363,           0.0083916,            0.002227,            0.007822,            0.007822,            0.007822
                  46,            0.031962,            0.015756,           0.0029187,             0.88421,             0.85192,              0.8717,             0.47395,            0.031881,           0.0084797,           0.0024026,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03218,            0.015583,           0.0026699,               0.855,             0.84304,             0.84636,             0.46465,             0.03213,           0.0083389,           0.0021908,            0.007723,            0.007723,            0.007723
                  48,            0.031624,            0.015655,           0.0023411,             0.86967,             0.84944,             0.86141,              0.4916,            0.031906,           0.0084121,           0.0026185,           0.0076735,           0.0076735,           0.0076735
                  49,            0.031566,            0.015832,           0.0022689,             0.87395,             0.84255,             0.86464,             0.49615,            0.031934,           0.0084633,           0.0024861,            0.007624,            0.007624,            0.007624
                  50,            0.031307,            0.015965,           0.0029247,             0.87936,             0.82958,             0.87123,             0.48464,            0.031835,            0.008482,           0.0020843,           0.0075745,           0.0075745,           0.0075745
                  51,            0.031435,            0.016063,           0.0028456,             0.84721,             0.84784,             0.85565,             0.47269,            0.031469,            0.008603,           0.0020888,            0.007525,            0.007525,            0.007525
                  52,            0.031006,            0.015667,           0.0023043,             0.86822,             0.85923,             0.86764,             0.49722,            0.031405,           0.0084473,           0.0022962,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030905,            0.015492,           0.0022509,              0.8691,             0.84962,             0.85875,              0.4675,            0.031676,            0.008536,            0.002391,            0.007426,            0.007426,            0.007426
                  54,             0.03053,            0.015032,           0.0022723,             0.86903,             0.86138,             0.85639,             0.47879,             0.03197,           0.0083478,           0.0020873,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031149,            0.015487,           0.0023198,             0.87928,              0.8622,             0.88304,             0.49823,             0.03127,            0.008368,           0.0019525,            0.007327,            0.007327,            0.007327
                  56,            0.030465,            0.015268,           0.0024428,             0.86619,              0.8704,             0.87696,             0.50501,            0.031001,           0.0086342,           0.0023238,           0.0072775,           0.0072775,           0.0072775
                  57,             0.03019,            0.015378,           0.0023955,             0.84794,             0.87298,             0.86613,             0.47348,            0.031474,           0.0084379,           0.0021104,            0.007228,            0.007228,            0.007228
