               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084909,            0.029583,            0.036217,           0.0082607,             0.26955,            0.014138,           0.0035225,            0.074165,            0.016048,            0.027688,            0.070294,           0.0033007,           0.0033007
                   1,            0.069659,            0.028265,            0.027806,             0.64888,            0.037838,            0.044944,            0.013426,            0.067039,            0.013859,            0.026268,            0.040272,           0.0066121,           0.0066121
                   2,            0.065026,            0.025085,            0.025728,             0.68187,            0.087816,            0.079017,            0.024056,             0.06234,            0.013792,             0.02414,            0.010228,           0.0099015,           0.0099015
                   3,            0.060341,             0.02487,            0.023248,             0.91414,            0.086223,             0.13494,            0.051714,            0.053573,            0.013844,            0.021424,            0.009901,            0.009901,            0.009901
                   4,            0.055192,            0.025679,            0.020247,              0.5799,             0.17982,              0.1712,            0.058221,            0.052141,            0.013016,            0.018364,            0.009901,            0.009901,            0.009901
                   5,            0.053367,            0.024157,            0.017529,             0.59571,             0.24198,             0.18906,            0.059171,            0.053026,            0.013028,            0.015926,            0.009868,            0.009868,            0.009868
                   6,            0.051118,            0.023813,            0.015233,             0.47701,             0.34542,             0.33372,              0.1315,            0.049561,            0.012504,            0.013496,            0.009835,            0.009835,            0.009835
                   7,            0.050036,            0.023378,            0.013148,             0.45118,             0.45158,             0.41102,             0.16674,            0.046572,            0.011553,            0.010668,            0.009802,            0.009802,            0.009802
                   8,             0.04831,            0.022782,            0.012008,             0.50343,             0.49879,              0.4693,             0.20562,            0.045743,            0.011713,           0.0089398,            0.009769,            0.009769,            0.009769
                   9,            0.047163,             0.02281,            0.010735,             0.54977,             0.47781,             0.47337,             0.20707,            0.043506,             0.01171,            0.010213,            0.009736,            0.009736,            0.009736
                  10,            0.045896,            0.022017,            0.010154,             0.59234,             0.51993,             0.54159,             0.24711,             0.04193,            0.011633,           0.0075903,            0.009703,            0.009703,            0.009703
                  11,            0.045185,            0.020897,           0.0096452,             0.56284,             0.54927,             0.54814,             0.25425,            0.041865,            0.010885,           0.0069399,             0.00967,             0.00967,             0.00967
                  12,            0.044821,            0.021305,           0.0086316,             0.64146,             0.60999,              0.6326,             0.28453,            0.040766,            0.011112,           0.0064977,            0.009637,            0.009637,            0.009637
                  13,            0.044714,            0.020667,           0.0083587,             0.68025,             0.63623,             0.64353,             0.28058,            0.041171,            0.010695,             0.00662,            0.009604,            0.009604,            0.009604
                  14,            0.042893,            0.020577,           0.0070322,             0.69732,             0.66885,             0.66988,             0.30184,            0.042074,            0.010548,           0.0049623,            0.009571,            0.009571,            0.009571
                  15,            0.042812,            0.020356,           0.0068477,             0.78433,             0.69459,             0.74068,             0.35727,            0.040609,            0.010738,           0.0050764,            0.009538,            0.009538,            0.009538
                  16,            0.041536,            0.020191,           0.0065196,             0.68019,             0.68828,             0.67714,             0.29775,            0.039824,            0.010443,           0.0045787,            0.009505,            0.009505,            0.009505
                  17,            0.042613,            0.019819,           0.0062971,             0.60893,             0.69565,               0.646,             0.29304,            0.039352,            0.010221,            0.004002,            0.009472,            0.009472,            0.009472
