               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093787,            0.028348,            0.037712,           0.0013486,             0.14968,           0.0027387,          0.00056911,             0.08342,            0.015618,            0.028282,            0.070294,           0.0033007,           0.0033007
                   1,            0.076537,            0.029649,            0.027824,           0.0026911,             0.26193,           0.0059051,           0.0014545,            0.080948,            0.014289,            0.025919,            0.040261,           0.0066011,           0.0066011
                   2,             0.07328,            0.027012,            0.026109,             0.43677,             0.19577,             0.03608,            0.010815,            0.068445,            0.015057,            0.025025,            0.010195,           0.0098686,           0.0098686
                   3,            0.068324,            0.026108,             0.02477,             0.45676,             0.10401,             0.05617,            0.015126,            0.063765,            0.015036,            0.023224,           0.0098515,           0.0098515,           0.0098515
                   4,            0.063588,            0.026857,            0.022482,              0.5072,             0.14026,            0.097706,            0.029137,            0.062358,            0.014132,            0.021181,           0.0098515,           0.0098515,           0.0098515
                   5,            0.060881,            0.025318,            0.020698,             0.38322,             0.18055,             0.13034,            0.037875,            0.057888,            0.014011,             0.01851,            0.009802,            0.009802,            0.009802
                   6,            0.058681,            0.025717,            0.018927,             0.54456,             0.19098,             0.12874,            0.042127,            0.054827,            0.013969,             0.01786,           0.0097525,           0.0097525,           0.0097525
                   7,            0.056298,             0.02575,            0.018038,              0.6223,             0.20122,             0.17395,            0.054939,            0.054191,            0.013753,            0.016927,            0.009703,            0.009703,            0.009703
                   8,            0.055017,            0.025194,            0.017095,             0.65281,             0.18812,             0.17099,            0.064304,            0.054318,            0.013783,            0.016493,           0.0096535,           0.0096535,           0.0096535
                   9,            0.053427,            0.025603,            0.016395,              0.6215,             0.21508,             0.21523,            0.078884,            0.051353,            0.013722,            0.014967,            0.009604,            0.009604,            0.009604
                  10,            0.052605,            0.024902,            0.015773,             0.64212,             0.26755,               0.278,            0.099758,            0.050554,            0.013275,             0.01455,           0.0095545,           0.0095545,           0.0095545
                  11,            0.052358,            0.024211,            0.014983,             0.43065,             0.28958,             0.28908,             0.11084,             0.04992,            0.013242,             0.01362,            0.009505,            0.009505,            0.009505
                  12,            0.052443,            0.024792,            0.014101,             0.42051,             0.35822,             0.32653,             0.12511,            0.048343,            0.013054,             0.01247,           0.0094555,           0.0094555,           0.0094555
                  13,            0.051448,             0.02401,            0.013875,             0.39776,             0.35128,             0.33809,             0.12439,            0.047854,            0.013101,            0.010797,            0.009406,            0.009406,            0.009406
                  14,            0.050275,            0.024216,            0.012553,             0.42913,             0.36807,             0.34194,             0.12866,            0.050354,            0.012851,            0.011444,           0.0093565,           0.0093565,           0.0093565
                  15,            0.049574,            0.024119,            0.012166,             0.44893,             0.35198,             0.34082,             0.14072,            0.047111,            0.012658,           0.0097546,            0.009307,            0.009307,            0.009307
                  16,            0.048658,            0.023898,            0.012077,             0.46581,              0.4435,              0.4157,              0.1593,            0.047271,            0.012715,           0.0099632,           0.0092575,           0.0092575,           0.0092575
                  17,            0.048797,            0.023619,            0.011034,             0.51144,              0.4123,             0.40276,              0.1518,            0.046658,            0.012348,           0.0091733,            0.009208,            0.009208,            0.009208
                  18,            0.048349,            0.022735,            0.011062,             0.49598,             0.39783,             0.42462,             0.17628,            0.045955,            0.012501,           0.0092332,           0.0091585,           0.0091585,           0.0091585
                  19,            0.047988,            0.022964,            0.010377,             0.47671,             0.43414,             0.43609,             0.18154,             0.04459,            0.012218,           0.0086275,            0.009109,            0.009109,            0.009109
                  20,            0.047733,            0.023283,            0.010091,             0.56895,             0.44967,             0.48313,             0.19071,            0.044938,            0.012233,           0.0071929,           0.0090595,           0.0090595,           0.0090595
                  21,            0.046906,            0.023263,           0.0096966,             0.52654,             0.47731,             0.49463,             0.20198,            0.043958,            0.012221,           0.0085517,             0.00901,             0.00901,             0.00901
                  22,            0.046556,             0.02342,           0.0099643,             0.66635,              0.4602,             0.54647,             0.23312,            0.044924,            0.012148,           0.0070399,           0.0089605,           0.0089605,           0.0089605
                  23,            0.046483,            0.022869,           0.0087607,              0.6274,             0.49866,             0.53451,             0.22345,            0.044651,            0.012043,            0.006866,            0.008911,            0.008911,            0.008911
                  24,            0.046397,            0.022708,           0.0088557,             0.55295,             0.52728,             0.51689,             0.21699,            0.044393,            0.011868,           0.0062883,           0.0088615,           0.0088615,           0.0088615
                  25,            0.045543,            0.022462,           0.0079288,              0.6632,             0.50591,              0.5828,             0.25816,            0.043749,            0.011726,            0.006339,            0.008812,            0.008812,            0.008812
                  26,            0.045632,            0.022777,           0.0084133,             0.69056,             0.53047,             0.59484,             0.25073,            0.044243,            0.011935,           0.0057722,           0.0087625,           0.0087625,           0.0087625
                  27,            0.045202,            0.023231,           0.0087335,             0.61216,             0.54922,             0.57934,             0.25879,            0.042271,            0.011845,            0.006258,            0.008713,            0.008713,            0.008713
                  28,            0.044144,            0.022213,           0.0078917,             0.62064,             0.57763,             0.61606,             0.26795,            0.043306,            0.011726,           0.0050261,           0.0086635,           0.0086635,           0.0086635
