               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087144,            0.029035,             0.03492,           0.0011144,             0.15892,           0.0058526,           0.0014054,            0.083732,            0.015764,            0.028364,            0.070148,           0.0033169,           0.0033169
                   1,            0.076377,            0.029306,            0.027342,           0.0041106,             0.35663,            0.016371,           0.0037533,            0.077686,            0.015041,            0.026978,            0.040082,           0.0065844,           0.0065844
                   2,            0.072147,            0.026541,            0.025654,             0.62424,            0.035966,            0.016663,           0.0039811,            0.078755,            0.013303,            0.026279,           0.0099501,           0.0097859,           0.0097859
                   3,            0.065227,            0.026288,             0.02303,             0.54136,            0.095297,            0.082352,            0.027105,            0.064033,            0.013986,             0.02323,            0.009703,            0.009703,            0.009703
                   4,            0.061146,            0.026214,            0.020144,             0.58795,             0.14713,             0.14691,            0.046263,            0.058914,            0.013641,             0.02038,            0.009703,            0.009703,            0.009703
                   5,            0.057538,            0.025018,            0.019067,             0.51807,             0.18671,             0.11797,            0.035408,            0.056945,            0.013547,            0.017743,            0.009604,            0.009604,            0.009604
                   6,            0.054845,            0.025253,            0.016881,             0.62044,             0.21279,             0.20264,            0.064404,            0.053735,            0.014356,             0.01708,            0.009505,            0.009505,            0.009505
                   7,            0.053327,            0.025018,            0.015265,             0.66704,             0.22323,             0.25156,            0.089241,            0.049567,            0.013449,            0.015583,            0.009406,            0.009406,            0.009406
                   8,            0.051916,            0.023944,             0.01503,              0.4911,             0.30933,             0.30468,              0.1252,            0.048099,            0.013406,            0.014233,            0.009307,            0.009307,            0.009307
                   9,            0.050363,            0.024539,            0.013776,             0.43949,             0.36862,             0.34549,             0.13334,            0.047822,            0.012871,            0.012942,            0.009208,            0.009208,            0.009208
                  10,            0.049708,            0.024058,            0.012296,             0.47798,             0.39352,             0.38324,             0.14585,            0.046271,            0.012626,            0.011394,            0.009109,            0.009109,            0.009109
                  11,            0.048372,            0.022793,            0.011881,             0.43661,             0.40311,             0.36956,             0.16048,            0.046849,            0.012376,            0.011082,             0.00901,             0.00901,             0.00901
                  12,            0.048611,            0.023662,            0.010917,             0.51371,             0.44138,             0.41782,             0.17506,            0.046079,            0.012614,           0.0090428,            0.008911,            0.008911,            0.008911
                  13,            0.047675,            0.022869,            0.011034,             0.50822,             0.43724,             0.45718,             0.18051,            0.044365,            0.012316,           0.0077499,            0.008812,            0.008812,            0.008812
                  14,             0.04602,            0.022935,           0.0099718,             0.55072,             0.49719,             0.50412,             0.20458,            0.045973,            0.012117,           0.0082847,            0.008713,            0.008713,            0.008713
                  15,            0.045889,              0.0225,           0.0092053,             0.55353,             0.50175,             0.52285,             0.22777,            0.043055,            0.011846,           0.0066681,            0.008614,            0.008614,            0.008614
                  16,            0.045227,            0.022137,           0.0086258,             0.56918,             0.55019,             0.53796,              0.2496,            0.041668,            0.011838,           0.0067856,            0.008515,            0.008515,            0.008515
                  17,            0.044789,            0.021473,           0.0080305,             0.57943,             0.57449,              0.5651,             0.25491,            0.042369,            0.011436,           0.0063966,            0.008416,            0.008416,            0.008416
                  18,            0.043868,            0.021278,           0.0083651,             0.61035,             0.55426,             0.58562,             0.26166,            0.041285,            0.011545,           0.0066475,            0.008317,            0.008317,            0.008317
                  19,            0.043251,            0.021212,           0.0075295,             0.68568,              0.5613,             0.61129,             0.26016,            0.041402,            0.011353,           0.0048537,            0.008218,            0.008218,            0.008218
                  20,            0.043196,            0.020973,           0.0070962,             0.67092,             0.62421,             0.64362,              0.2967,            0.040991,            0.011002,            0.004657,            0.008119,            0.008119,            0.008119
                  21,            0.042703,            0.021514,           0.0072435,             0.69701,             0.58005,              0.6159,             0.29378,            0.041725,            0.011276,           0.0049226,             0.00802,             0.00802,             0.00802
                  22,            0.042131,            0.021795,           0.0070508,             0.68523,             0.67783,             0.68103,             0.32596,            0.039545,            0.011234,           0.0042982,            0.007921,            0.007921,            0.007921
                  23,            0.041898,            0.020647,           0.0063543,             0.71006,             0.70532,             0.70512,             0.33561,            0.039876,            0.010696,           0.0038584,            0.007822,            0.007822,            0.007822
                  24,            0.041218,            0.020742,           0.0062592,             0.68572,              0.6992,             0.71453,             0.31915,            0.039024,            0.010909,           0.0036472,            0.007723,            0.007723,            0.007723
                  25,            0.041152,            0.020834,           0.0055531,             0.77396,              0.6672,              0.7209,             0.33985,            0.039382,            0.010631,           0.0034212,            0.007624,            0.007624,            0.007624
                  26,            0.040918,            0.020593,           0.0060042,             0.71968,             0.71744,             0.72496,             0.33862,            0.038087,             0.01042,           0.0031887,            0.007525,            0.007525,            0.007525
                  27,            0.039995,            0.020563,           0.0060402,             0.66052,             0.72086,             0.68927,              0.3071,            0.038282,            0.010522,            0.003502,            0.007426,            0.007426,            0.007426
                  28,            0.039725,            0.020026,           0.0050152,             0.69403,             0.70189,             0.70366,             0.32836,            0.039265,            0.010364,           0.0036157,            0.007327,            0.007327,            0.007327
                  29,            0.039552,            0.019914,           0.0057428,             0.77258,             0.65325,             0.72502,               0.349,            0.037426,            0.010598,            0.003557,            0.007228,            0.007228,            0.007228
                  30,            0.039173,            0.019718,           0.0054999,             0.75739,              0.6928,             0.73719,             0.36525,            0.037619,            0.010228,           0.0032042,            0.007129,            0.007129,            0.007129
                  31,            0.039546,            0.019738,           0.0046512,              0.7596,             0.73233,             0.75862,             0.37014,            0.036105,            0.010078,           0.0028023,             0.00703,             0.00703,             0.00703
                  32,            0.038664,            0.019728,           0.0048386,              0.7405,             0.75312,             0.76526,             0.37012,            0.036989,            0.010162,           0.0030171,            0.006931,            0.006931,            0.006931
                  33,            0.038691,            0.019509,           0.0055989,              0.7856,             0.71322,             0.78416,             0.38597,            0.036427,           0.0099244,           0.0026328,            0.006832,            0.006832,            0.006832
