               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087928,            0.028935,             0.03513,           0.0011996,             0.18118,           0.0025408,          0.00051372,            0.082573,            0.015712,            0.027338,            0.070294,           0.0033007,           0.0033007
                   1,            0.076877,            0.029356,             0.02742,           0.0043262,             0.35615,            0.018889,           0.0046873,            0.076624,            0.015074,            0.025579,            0.040261,           0.0066011,           0.0066011
                   2,            0.072202,            0.026811,            0.024283,             0.66454,            0.081997,            0.053957,             0.01418,            0.068611,            0.014689,             0.02325,            0.010195,           0.0098686,           0.0098686
                   3,            0.065192,            0.026418,            0.022572,             0.52411,             0.12447,             0.08247,            0.023435,            0.065812,            0.013575,            0.021946,           0.0098515,           0.0098515,           0.0098515
                   4,            0.060791,            0.025335,            0.020225,             0.62678,             0.18127,             0.14046,            0.042911,            0.060099,             0.01398,            0.018816,           0.0098515,           0.0098515,           0.0098515
                   5,             0.05806,            0.024792,            0.017992,             0.60657,             0.20501,             0.17771,             0.05355,            0.055545,            0.013717,            0.017967,            0.009802,            0.009802,            0.009802
                   6,            0.055027,            0.025581,            0.017226,             0.58188,             0.20009,             0.16937,            0.052962,            0.056218,            0.013309,            0.016573,           0.0097525,           0.0097525,           0.0097525
                   7,            0.053205,            0.024271,            0.016062,              0.4382,             0.23535,             0.21412,            0.075302,            0.051604,            0.013411,            0.014702,            0.009703,            0.009703,            0.009703
                   8,            0.051744,            0.024442,            0.014627,             0.49835,             0.27924,             0.28974,             0.11114,            0.047924,            0.013248,            0.013401,           0.0096535,           0.0096535,           0.0096535
                   9,            0.050011,            0.024199,            0.013599,             0.37997,             0.34336,             0.32282,             0.12266,            0.049041,            0.012261,            0.012264,            0.009604,            0.009604,            0.009604
                  10,            0.049859,            0.023603,            0.012799,             0.41315,              0.3898,             0.38851,             0.16073,            0.047172,            0.012604,            0.010508,           0.0095545,           0.0095545,           0.0095545
                  11,            0.048462,             0.02389,            0.011968,             0.46004,             0.38595,              0.4092,             0.17593,            0.044963,            0.012444,            0.010297,            0.009505,            0.009505,            0.009505
