               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084909,            0.029583,            0.036217,           0.0082607,             0.26955,            0.014138,           0.0035225,            0.074165,            0.016048,            0.027688,            0.070294,           0.0033007,           0.0033007
                   1,            0.069589,            0.028232,            0.027849,             0.67241,             0.04628,            0.066968,            0.015998,            0.065315,            0.014249,            0.026138,            0.040261,           0.0066011,           0.0066011
                   2,            0.065112,            0.024903,            0.025695,             0.65412,            0.051051,            0.045398,            0.012613,            0.069636,            0.012633,            0.024283,            0.010195,           0.0098686,           0.0098686
                   3,            0.060318,            0.024808,            0.023221,             0.52674,             0.15259,             0.12363,            0.042595,            0.057217,            0.013706,            0.020765,           0.0098515,           0.0098515,           0.0098515
                   4,            0.055781,            0.025642,             0.02003,             0.58168,             0.20716,             0.17763,            0.058746,            0.051303,            0.013211,            0.017745,           0.0098515,           0.0098515,           0.0098515
                   5,             0.05309,            0.023918,            0.016891,               0.646,             0.23645,             0.24868,            0.099987,            0.050267,            0.012674,            0.015002,            0.009802,            0.009802,            0.009802
                   6,            0.051716,             0.02386,             0.01488,             0.49836,             0.30906,             0.29335,             0.11662,            0.048091,            0.012985,            0.014396,           0.0097525,           0.0097525,           0.0097525
                   7,            0.049765,            0.023425,            0.013351,             0.43244,             0.40924,             0.37792,             0.14364,            0.049083,            0.011793,            0.011831,            0.009703,            0.009703,            0.009703
                   8,            0.048341,            0.022689,            0.012386,             0.42944,             0.48823,             0.45009,              0.2048,            0.043563,            0.012085,           0.0092761,           0.0096535,           0.0096535,           0.0096535
                   9,            0.046353,            0.022956,            0.010769,               0.526,             0.48757,             0.47597,             0.21161,            0.043905,            0.011844,           0.0092427,            0.009604,            0.009604,            0.009604
                  10,            0.046545,            0.022084,           0.0099515,             0.54214,              0.5146,             0.51028,             0.22241,            0.042032,            0.011755,           0.0082552,           0.0095545,           0.0095545,           0.0095545
                  11,            0.045402,            0.021013,           0.0095031,             0.57332,             0.56076,             0.53875,             0.25067,             0.04373,            0.011209,           0.0072666,            0.009505,            0.009505,            0.009505
                  12,            0.045179,            0.021355,           0.0089063,              0.6984,             0.60167,             0.65145,             0.30036,             0.04023,            0.011022,           0.0074529,           0.0094555,           0.0094555,           0.0094555
                  13,            0.044697,            0.020411,           0.0077424,             0.65184,             0.64411,             0.67647,             0.28639,            0.040977,            0.010755,           0.0064678,            0.009406,            0.009406,            0.009406
                  14,            0.042841,            0.020465,           0.0070457,             0.59489,             0.65732,             0.61507,             0.29284,            0.040922,             0.01069,           0.0057447,           0.0093565,           0.0093565,           0.0093565
                  15,            0.043013,            0.020499,           0.0069353,             0.70038,             0.74091,             0.72976,              0.3206,            0.040943,            0.010386,           0.0043813,            0.009307,            0.009307,            0.009307
                  16,            0.041577,            0.020137,            0.006345,             0.66629,             0.69641,             0.68112,             0.32367,            0.038945,            0.010581,           0.0048433,           0.0092575,           0.0092575,           0.0092575
                  17,            0.042265,            0.019911,           0.0061888,             0.65331,             0.70008,             0.66372,             0.32381,            0.039527,            0.010245,           0.0045882,            0.009208,            0.009208,            0.009208
                  18,            0.041251,            0.019236,           0.0058686,             0.66628,             0.69907,             0.68566,             0.29133,            0.041892,            0.010385,            0.004635,           0.0091585,           0.0091585,           0.0091585
