               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093787,            0.028348,            0.037712,           0.0013486,             0.14968,           0.0027387,          0.00056911,             0.08342,            0.015618,            0.028282,            0.070294,           0.0033007,           0.0033007
                   1,            0.076972,            0.029576,            0.027852,           0.0026926,             0.26938,           0.0091534,           0.0019415,             0.07851,            0.014769,            0.026057,            0.040272,           0.0066121,           0.0066121
                   2,            0.072781,             0.02726,            0.026033,             0.65133,            0.055296,            0.050684,            0.013417,            0.068867,            0.014931,            0.025352,            0.010228,           0.0099015,           0.0099015
                   3,            0.068454,            0.026233,            0.024876,             0.64748,            0.076017,            0.039629,            0.010188,            0.066814,            0.014841,            0.023138,            0.009901,            0.009901,            0.009901
                   4,            0.063597,            0.026777,            0.022394,              0.4829,             0.11722,            0.072139,            0.021264,            0.063353,            0.014032,            0.020805,            0.009901,            0.009901,            0.009901
                   5,            0.060631,            0.025692,            0.020351,             0.57177,              0.1577,             0.11655,            0.032928,            0.058716,            0.014103,             0.01917,            0.009868,            0.009868,            0.009868
                   6,            0.058578,            0.025855,            0.019082,             0.60407,               0.197,             0.15887,            0.053742,            0.053673,            0.014042,            0.017529,            0.009835,            0.009835,            0.009835
                   7,            0.056466,            0.025824,            0.018059,             0.55189,             0.19233,             0.13705,            0.039229,            0.058707,             0.01317,            0.015851,            0.009802,            0.009802,            0.009802
                   8,            0.055217,            0.025211,            0.017067,             0.60612,             0.21059,             0.18916,            0.065758,            0.053364,            0.014221,            0.015764,            0.009769,            0.009769,            0.009769
                   9,            0.053942,            0.025765,            0.016034,             0.60888,             0.24287,             0.23488,            0.081057,            0.050964,             0.01389,            0.014351,            0.009736,            0.009736,            0.009736
                  10,            0.052833,            0.025095,            0.015798,             0.45066,              0.2333,             0.26363,             0.10254,            0.050107,            0.013364,            0.014013,            0.009703,            0.009703,            0.009703
                  11,            0.051925,            0.024218,            0.014669,             0.37745,             0.32849,             0.29526,             0.11246,             0.05023,            0.013405,            0.012907,             0.00967,             0.00967,             0.00967
                  12,            0.052665,            0.024732,            0.013785,              0.4359,             0.33576,             0.32465,             0.12527,            0.048403,             0.01326,            0.012069,            0.009637,            0.009637,            0.009637
