               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087928,            0.028935,             0.03513,           0.0011996,             0.18118,           0.0025408,          0.00051372,            0.082573,            0.015712,            0.027338,            0.070294,           0.0033007,           0.0033007
                   1,            0.076325,            0.029491,            0.027285,           0.0040338,             0.37643,            0.012058,           0.0024792,            0.080445,            0.014565,            0.025407,            0.040272,           0.0066121,           0.0066121
                   2,            0.071598,            0.026788,            0.025468,             0.65966,            0.048288,            0.047444,            0.012425,            0.067784,            0.014437,            0.024558,            0.010228,           0.0099015,           0.0099015
                   3,            0.066188,            0.025831,            0.022459,             0.49465,             0.10446,            0.089418,            0.028252,            0.063315,            0.013516,            0.021136,            0.009901,            0.009901,            0.009901
                   4,            0.060084,            0.026495,            0.020156,             0.57236,             0.15012,             0.11263,            0.034416,            0.059252,            0.013603,            0.019483,            0.009901,            0.009901,            0.009901
                   5,            0.057185,             0.02506,            0.018591,             0.61111,             0.21925,             0.18374,            0.061932,            0.054383,             0.01381,             0.01709,            0.009868,            0.009868,            0.009868
                   6,            0.055451,            0.024959,            0.016407,             0.59057,             0.22864,             0.20613,            0.072185,            0.053248,            0.013508,            0.015983,            0.009835,            0.009835,            0.009835
                   7,             0.05337,            0.024792,            0.015644,             0.64043,             0.24373,             0.28033,             0.10132,            0.050337,            0.012934,            0.013796,            0.009802,            0.009802,            0.009802
                   8,            0.052566,            0.024182,            0.014495,             0.51326,             0.33444,             0.29505,              0.1137,            0.048379,            0.012886,            0.012535,            0.009769,            0.009769,            0.009769
                   9,            0.050033,            0.024616,            0.013525,             0.47423,             0.38598,             0.34924,              0.1425,            0.046824,             0.01311,            0.011907,            0.009736,            0.009736,            0.009736
                  10,            0.049678,             0.02368,            0.012812,             0.38139,             0.39741,             0.38642,             0.14955,            0.047341,            0.012603,             0.01095,            0.009703,            0.009703,            0.009703
                  11,            0.048759,            0.023003,            0.011959,             0.45726,              0.3802,               0.389,             0.16749,            0.047345,            0.012464,           0.0088881,             0.00967,             0.00967,             0.00967
                  12,            0.048523,            0.023379,            0.010506,             0.45433,             0.45736,             0.41721,             0.16952,            0.045332,            0.012315,           0.0089213,            0.009637,            0.009637,            0.009637
                  13,            0.047471,             0.02261,            0.010102,             0.48917,             0.48812,             0.49368,             0.20983,             0.04496,            0.011973,           0.0074534,            0.009604,            0.009604,            0.009604
                  14,            0.046631,            0.022567,           0.0093153,             0.52669,             0.54678,             0.51441,             0.22567,             0.04487,            0.011851,           0.0079957,            0.009571,            0.009571,            0.009571
                  15,            0.046036,            0.022397,           0.0091673,             0.56793,             0.60569,             0.59526,             0.25759,            0.043236,            0.011771,           0.0065086,            0.009538,            0.009538,            0.009538
                  16,             0.04466,             0.02222,            0.008819,             0.57931,             0.61613,              0.6021,             0.25273,            0.044093,            0.011733,           0.0063564,            0.009505,            0.009505,            0.009505
                  17,            0.045473,            0.021665,           0.0083283,             0.56456,             0.58316,              0.5695,             0.26127,            0.042024,            0.011404,           0.0061839,            0.009472,            0.009472,            0.009472
                  18,            0.044734,            0.021094,           0.0080563,             0.60118,             0.58414,              0.5738,             0.23461,            0.044482,            0.011542,           0.0060723,            0.009439,            0.009439,            0.009439
                  19,            0.044678,            0.021027,           0.0071707,             0.57451,             0.60912,             0.60337,             0.26407,            0.041475,            0.011367,            0.005282,            0.009406,            0.009406,            0.009406
                  20,            0.044038,            0.021355,           0.0074374,             0.62035,             0.65355,             0.63419,             0.27001,            0.041388,            0.011247,           0.0049139,            0.009373,            0.009373,            0.009373
                  21,            0.043261,            0.021222,           0.0065836,             0.64231,             0.65147,             0.64948,             0.26274,            0.041351,            0.011088,           0.0047118,             0.00934,             0.00934,             0.00934
                  22,            0.042887,            0.021333,           0.0070171,             0.75651,             0.64497,             0.72638,             0.34061,            0.039886,            0.011003,           0.0042244,            0.009307,            0.009307,            0.009307
                  23,            0.042966,            0.020671,           0.0060903,             0.63291,             0.66458,             0.61722,             0.27099,            0.041545,            0.011035,           0.0043818,            0.009274,            0.009274,            0.009274
                  24,            0.042311,            0.020955,           0.0063645,             0.69176,              0.6777,             0.70349,             0.32488,            0.039788,            0.010924,           0.0045714,            0.009241,            0.009241,            0.009241
                  25,            0.041836,             0.02054,           0.0054716,             0.71743,              0.6499,             0.68549,             0.29886,            0.041002,            0.010546,           0.0043798,            0.009208,            0.009208,            0.009208
                  26,            0.041611,            0.020711,           0.0062159,             0.71591,             0.70984,             0.67579,             0.30758,            0.039331,            0.010495,           0.0037105,            0.009175,            0.009175,            0.009175
                  27,             0.04173,            0.020952,           0.0061567,             0.73592,             0.71169,             0.72478,             0.33901,            0.038738,             0.01056,           0.0034955,            0.009142,            0.009142,            0.009142
                  28,            0.040426,            0.020165,           0.0056452,             0.76376,             0.69813,             0.71913,             0.33592,            0.040177,            0.010696,           0.0034805,            0.009109,            0.009109,            0.009109
                  29,            0.040075,            0.019929,           0.0058418,             0.69617,             0.68914,             0.72143,             0.32532,            0.038929,            0.010228,           0.0033807,            0.009076,            0.009076,            0.009076
                  30,            0.039572,            0.019639,           0.0049363,             0.76873,             0.71142,             0.75094,             0.33696,            0.038589,            0.010245,           0.0034172,            0.009043,            0.009043,            0.009043
                  31,            0.040442,            0.020161,            0.005454,             0.72995,             0.72005,              0.6955,             0.31988,            0.039045,             0.01029,           0.0031482,             0.00901,             0.00901,             0.00901
                  32,            0.039869,            0.019696,           0.0049976,             0.75215,             0.72724,             0.74749,             0.36086,            0.037383,            0.010181,           0.0032608,            0.008977,            0.008977,            0.008977
                  33,            0.039892,            0.019565,           0.0051293,             0.73963,             0.73761,             0.75198,             0.35579,            0.039732,             0.01024,           0.0026115,            0.008944,            0.008944,            0.008944
                  34,            0.038929,            0.019979,           0.0049176,              0.7891,             0.71975,             0.77477,             0.36982,            0.037088,            0.010252,           0.0027001,            0.008911,            0.008911,            0.008911
                  35,            0.039317,            0.019617,           0.0045183,             0.78651,             0.74609,             0.78795,             0.40706,            0.036699,              0.0101,           0.0028668,            0.008878,            0.008878,            0.008878
                  36,            0.038671,            0.019659,           0.0049867,             0.75455,             0.71577,             0.75112,             0.36987,             0.03696,            0.010205,           0.0034925,            0.008845,            0.008845,            0.008845
                  37,            0.038307,            0.019728,           0.0049079,             0.80133,              0.7892,             0.81392,             0.39716,            0.036552,           0.0098775,           0.0026933,            0.008812,            0.008812,            0.008812
                  38,            0.038386,            0.019213,           0.0046989,             0.80875,             0.76587,             0.79001,             0.37595,            0.036607,           0.0098567,            0.002027,            0.008779,            0.008779,            0.008779
                  39,            0.038383,            0.018602,           0.0044263,             0.79082,              0.7657,             0.79059,             0.38791,            0.037436,           0.0098935,           0.0024823,            0.008746,            0.008746,            0.008746
                  40,            0.037952,            0.019135,           0.0037553,             0.75886,             0.77631,             0.79498,             0.38206,            0.036766,           0.0096502,           0.0025999,            0.008713,            0.008713,            0.008713
                  41,            0.037483,            0.018718,           0.0040681,             0.79514,             0.80031,             0.79842,             0.40306,            0.036355,           0.0094232,           0.0024056,             0.00868,             0.00868,             0.00868
                  42,            0.037099,            0.018987,           0.0039371,             0.77423,             0.79403,             0.79885,             0.40427,            0.035901,           0.0098214,           0.0025179,            0.008647,            0.008647,            0.008647
