               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085472,             0.02982,            0.034969,           0.0025555,             0.14896,           0.0044467,           0.0011657,            0.076308,            0.016992,            0.027396,            0.070294,           0.0033007,           0.0033007
                   1,            0.069456,            0.029535,            0.027536,             0.43738,              0.2064,            0.062891,            0.022204,            0.060466,            0.015004,            0.026098,            0.040261,           0.0066011,           0.0066011
                   2,            0.063526,            0.025311,            0.025167,             0.66375,             0.11404,             0.07725,             0.02316,            0.062305,            0.013324,            0.022947,            0.010195,           0.0098686,           0.0098686
                   3,            0.058233,            0.024805,            0.021413,             0.69128,             0.17862,             0.13039,            0.046757,            0.052051,            0.012964,             0.01834,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053635,            0.024876,            0.017713,             0.58926,             0.29419,             0.24548,            0.088061,            0.051385,             0.01223,            0.014907,           0.0098515,           0.0098515,           0.0098515
                   5,            0.050471,            0.023041,            0.014942,             0.55588,             0.38884,             0.37666,             0.15098,            0.045977,            0.011799,             0.01193,            0.009802,            0.009802,            0.009802
                   6,            0.049124,            0.022632,            0.012384,             0.47102,             0.46625,              0.4426,             0.17859,            0.046233,            0.011683,            0.010802,           0.0097525,           0.0097525,           0.0097525
                   7,            0.047076,            0.022182,            0.011208,             0.57966,             0.54446,             0.54906,             0.22982,            0.044839,             0.01112,           0.0092294,            0.009703,            0.009703,            0.009703
                   8,            0.046258,            0.021486,           0.0098553,             0.53792,             0.58195,             0.58463,             0.26724,            0.044888,            0.010843,           0.0077347,           0.0096535,           0.0096535,           0.0096535
                   9,            0.044834,            0.021772,           0.0087866,             0.67093,             0.54046,             0.62026,             0.30563,            0.042104,            0.010882,           0.0075186,            0.009604,            0.009604,            0.009604
                  10,               0.044,            0.021042,           0.0077597,             0.65235,              0.6162,             0.65611,             0.29948,             0.04379,            0.010685,           0.0054318,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043599,            0.019919,           0.0072155,             0.67959,             0.64221,             0.68442,             0.31232,            0.041943,            0.010324,           0.0056614,            0.009505,            0.009505,            0.009505
                  12,            0.043717,            0.020406,           0.0068442,             0.71316,             0.69495,              0.7194,             0.35143,            0.038233,            0.010282,           0.0059871,           0.0094555,           0.0094555,           0.0094555
                  13,            0.042289,            0.019615,           0.0065159,             0.75422,             0.69593,             0.71933,             0.35357,            0.040405,           0.0099584,            0.004859,            0.009406,            0.009406,            0.009406
                  14,            0.040947,            0.019568,           0.0056991,             0.71976,             0.66514,             0.71083,             0.36095,            0.040312,            0.010157,           0.0050435,           0.0093565,           0.0093565,           0.0093565
                  15,            0.041039,            0.019596,            0.005743,             0.73874,             0.69852,             0.74437,             0.34565,            0.039348,           0.0098062,           0.0039929,            0.009307,            0.009307,            0.009307
                  16,            0.039885,            0.019523,           0.0055206,             0.69437,             0.73168,             0.74059,             0.36527,            0.038069,           0.0099353,           0.0041662,           0.0092575,           0.0092575,           0.0092575
